rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,1758.8,369.68,384.84,20.0,19.7,22.0,0.0,ok,-0.5,ok,1.08,,False,61.2,18.9,1.5,47.9,76.3,37.3,26.1,0.1,4.7,0.399,0.491,NVDA,,126,19.7,22.0,,True
2,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2147.2,414.0,421.42,24.0,16.9,21.0,-2.0,ok,0.0,ok,-0.77,,False,59.9,19.0,,36.0,64.2,40.0,39.9,12.0,4.5,0.607,0.664,NVDA,,126,16.9,21.0,fcf_yield_out_of_range(34.0),False
3,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4060.7,332.03,347.03,19.0,17.9,20.0,0.0,ok,0.0,ok,-0.7,,False,56.9,22.4,0.6,24.2,60.9,48.7,36.2,-0.5,-2.5,0.337,0.295,BMNR,,126,17.9,20.0,,True
4,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,Compounder,125.7,544.5,553.14,18.0,16.3,22.0,0.0,ok,-0.5,ok,1.73,,False,55.8,16.6,4.4,10.5,11.8,89.2,26.1,-1.8,-30.0,-0.09,0.162,AVGO,,126,16.3,22.0,,False
5,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Core,98.5,255.97,285.78,20.5,17.4,17.7,0.0,ok,0.0,ok,0.08,,False,55.6,28.1,2.7,24.1,38.0,43.9,31.0,0.0,-10.1,0.362,0.492,AVGO,,126,17.4,20.0,,False
6,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5250.5,217.44,208.8,20.0,17.3,20.0,-2.0,ok,0.0,ok,-0.12,,False,55.3,14.2,0.8,105.9,74.7,117.2,44.6,10.9,6.8,0.508,0.491,AVGO,,126,17.3,20.0,,True
7,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,239.3,898.53,1022.84,20.0,12.0,23.0,0.0,ok,0.0,ok,-2.29,,True,55.0,35.8,6.6,21.9,20.6,82.6,24.2,2.1,-5.1,0.393,0.459,AVGO,,126,17.4,23.0,,False
8,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,Growth,238.7,189.26,181.29,19.0,17.6,18.3,0.0,ok,0.0,ok,-2.88,,False,54.9,36.7,1.6,37.7,63.0,31.5,33.9,25.3,28.4,0.445,0.56,AVGO,,126,17.6,20.0,,False
9,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Compounder,75.7,532.91,542.73,16.0,18.8,21.0,0.0,ok,-1.5,ok,2.03,,False,54.3,17.5,3.3,5.1,20.1,27.0,31.5,-11.6,-41.3,-0.048,0.246,AVGO,,126,18.8,21.0,,False
10,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,6.3,172.14,224.75,17.5,18.0,18.0,0.0,ok,0.0,ok,-2.67,,False,53.5,24.2,3.0,8.9,30.1,28.3,25.4,-13.7,-11.3,0.392,0.459,AVGO,,126,18.0,18.0,,False
11,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,Core,1473.8,578.54,592.34,18.0,17.5,17.0,0.0,ok,0.0,ok,0.2,,False,52.5,16.5,1.5,28.0,81.7,29.8,49.9,-7.0,-25.2,0.384,0.375,GOOG,,126,17.5,15.0,,False
12,BX,Blackstone Inc.,Financial Services,Asset Management,Core,163.3,136.66,131.32,22.5,19.2,10.0,0.0,ok,0.0,financial_na,,,False,51.7,18.2,,28.6,100.0,31.4,34.7,5.4,8.9,0.309,0.322,GOOG,,126,19.2,16.0,,False
13,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Core,56.1,222.4,254.5,22.0,19.4,10.0,0.0,ok,-0.5,ok,1.53,,False,50.9,12.3,6.3,19.5,56.1,27.9,33.8,-8.3,-8.6,0.232,0.386,AVGO,,126,19.4,14.0,,False
14,ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,Core,151.8,390.71,415.94,18.0,18.2,17.1,0.0,ok,-2.5,ok,3.11,,False,50.8,24.3,2.0,21.4,36.0,19.7,17.5,3.0,-1.1,0.409,0.483,AVGO,,126,18.2,19.0,,False
15,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,Core,36.5,304.23,291.71,23.0,17.7,10.0,0.0,ok,0.0,ok,-0.5,,False,50.7,12.5,9.4,14.0,90.4,89.5,40.0,18.0,25.6,0.145,0.191,MSFT,,126,17.7,15.0,,False
16,RTX,RTX Corporation,Industrials,Aerospace & Defense,Compounder,276.5,205.16,206.76,15.5,13.8,21.0,0.0,ok,-0.5,ok,1.92,,False,49.8,26.1,3.6,14.5,20.3,12.3,25.6,6.6,-13.7,-0.036,0.143,AVGO,,126,13.8,21.0,,False
17,APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,Growth,77.8,131.69,126.47,20.0,19.7,10.0,0.0,ok,0.0,financial_na,,,False,49.7,12.3,,63.8,36.1,11.4,38.7,3.3,8.0,0.29,0.32,GOOG,,126,19.7,14.0,,False
18,AXP,American Express Company,Financial Services,Credit Services,Core,218.9,324.19,342.18,21.5,18.1,10.0,0.0,ok,0.0,financial_na,,,False,49.6,16.1,,12.8,62.3,34.4,25.2,-3.8,-7.5,0.391,0.385,GOOG,,126,18.1,18.0,,False
19,CINF,Cincinnati Financial Corporati,Financial Services,Insurance - Property & Casualt,Growth,26.2,170.39,177.61,22.0,17.6,10.0,0.0,ok,0.0,financial_na,,,False,49.6,18.9,11.4,31.6,31.1,21.5,42.4,2.3,-9.9,-0.204,0.325,AVGO,,126,17.6,14.0,,False
20,AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,Core,47.9,542.64,529.48,23.0,16.6,10.0,0.0,ok,0.0,financial_na,,,False,49.6,10.5,6.1,11.6,54.9,63.4,33.9,12.0,4.2,0.241,0.26,MSFT,,126,16.6,15.0,,False
21,PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,Core,44.8,52.4,54.23,20.0,19.2,10.0,0.0,ok,0.0,financial_na,,,False,49.2,9.1,9.9,4.8,40.5,24.5,29.9,2.6,0.1,0.235,0.291,MSFT,,126,19.2,17.0,,False
22,GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,Core,12.7,100.55,95.52,22.0,17.5,10.0,0.0,ok,-0.5,ok,1.91,,False,49.0,9.1,9.5,6.6,63.8,442.9,61.7,4.1,1.5,0.014,0.19,MSFT,,126,17.5,17.0,,False
23,ADSK,"Autodesk, Inc.",Technology,Software - Application,Core,51.8,247.69,235.31,23.0,16.0,10.0,0.0,ok,0.0,ok,-0.2,,False,49.0,17.4,6.1,16.1,92.5,53.9,48.9,-0.1,-15.9,0.18,0.338,MSFT,,126,16.0,17.0,,False
24,LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Mate,Core,363.1,290.2,327.07,19.0,19.9,10.0,0.0,ok,0.0,ok,-0.17,,False,48.9,25.1,0.9,30.0,50.5,65.1,34.3,12.2,18.2,0.47,0.563,AVGO,,126,19.9,14.0,,False
25,GD,General Dynamics Corporation,Industrials,Aerospace & Defense,Core,99.9,369.41,376.93,14.5,16.0,18.4,0.0,ok,0.0,ok,0.78,,False,48.9,19.9,4.4,8.1,15.4,17.8,23.0,4.6,-10.6,0.019,0.126,NVDA,,126,16.0,21.0,,False
26,NFLX,"Netflix, Inc.",Communication Services,Entertainment,Core,336.5,80.81,76.77,23.0,15.9,10.0,0.0,ok,0.0,ok,0.51,,False,48.9,21.1,7.5,13.4,49.1,49.5,67.5,-7.5,-30.0,0.122,0.253,MSFT,,126,15.9,14.0,,False
27,IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,Core,42.9,545.16,558.98,19.5,19.1,10.0,0.0,ok,0.0,ok,0.55,,False,48.6,32.6,2.1,9.7,62.4,74.2,38.9,-10.5,-27.9,0.262,0.37,GOOG,,126,19.1,17.0,,False
28,TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,Core,23.2,108.97,114.23,20.5,18.0,10.0,0.0,ok,0.0,financial_na,,,False,48.5,10.6,8.7,10.7,51.6,19.4,36.5,6.0,8.3,0.251,0.321,BMNR,,126,18.0,15.0,,False
29,MS,Morgan Stanley,Financial Services,Capital Markets,Core,331.5,211.04,215.99,20.0,18.3,10.0,0.0,ok,0.0,financial_na,,,False,48.3,15.5,,28.0,87.6,18.0,39.1,11.5,14.7,0.468,0.411,BMNR,,126,18.3,16.0,,False
30,TXN,Texas Instruments Incorporated,Technology,Semiconductors,Core,231.4,253.34,283.07,19.0,19.3,10.0,0.0,ok,0.0,ok,0.74,,False,48.3,23.8,1.5,22.8,58.3,35.2,31.2,6.9,13.9,0.25,0.4,AVGO,,126,19.3,14.0,,False
31,ALAB,"Astera Labs, Inc.",Technology,Semiconductors,Growth,48.6,279.91,337.0,19.0,19.2,10.0,0.0,ok,0.0,ok,-4.23,,False,48.2,43.8,0.2,104.5,75.1,25.8,33.5,25.5,134.1,0.465,0.561,AVGO,,126,19.2,15.0,,False
