rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Compounder,104.0,270.1,299.83,20.5,20.1,20.0,0.0,ok,0.0,ok,0.08,,False,60.6,29.7,2.6,24.1,38.0,43.9,38.5,8.4,22.4,0.313,0.463,AVGO,,126,20.1,20.0,,False
2,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,263.9,990.85,1021.2,19.0,16.8,23.0,0.0,ok,0.0,ok,-2.29,,False,58.8,39.8,6.0,21.9,20.6,82.6,39.5,16.8,12.4,0.397,0.468,AVGO,,126,16.8,23.0,,False
3,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2170.4,418.47,425.57,24.0,14.7,21.0,-2.0,ok,0.0,ok,-0.8,,False,57.7,19.2,,36.0,64.2,40.0,47.0,16.4,7.0,0.586,0.652,NVDA,,126,14.7,21.0,fcf_yield_out_of_range(34.1),False
4,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,2009.6,422.4,401.28,20.0,15.8,22.0,0.0,ok,-0.5,ok,1.08,,False,57.3,21.6,1.4,47.9,76.3,37.3,67.6,14.9,11.8,0.416,0.5,NVDA,,126,15.8,22.0,,True
5,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4351.9,355.84,354.11,19.0,14.9,20.0,0.0,ok,0.0,ok,-0.7,,False,53.9,24.2,0.5,24.2,60.9,48.7,54.3,8.3,-1.5,0.343,0.321,BMNR,,126,14.9,20.0,,True
6,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,Core,1515.6,594.92,598.95,18.0,18.2,17.0,0.0,ok,0.0,ok,0.2,,False,53.2,16.9,1.4,28.0,81.7,29.8,35.2,-5.6,-23.4,0.41,0.395,NVDA,,126,18.2,15.0,,False
7,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,7.5,207.22,255.32,17.5,17.3,18.0,0.0,ok,0.0,ok,-2.67,,False,52.8,30.5,2.5,8.9,30.1,28.3,34.1,7.1,-0.6,0.377,0.452,AVGO,,126,17.3,18.0,,False
8,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5269.3,217.55,206.67,20.0,14.3,20.0,-2.0,ok,0.0,ok,-0.24,,False,52.3,16.9,0.9,85.2,74.1,114.3,57.5,12.1,3.2,0.54,0.5,AVGO,,126,14.3,20.0,,True
9,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,Growth,241.5,191.52,181.94,19.0,12.9,20.0,0.0,ok,0.0,ok,-2.88,,False,51.9,37.1,1.6,37.7,63.0,31.5,61.8,30.1,23.8,0.465,0.573,AVGO,,126,12.9,20.0,,False
10,SNDK,Sandisk Corporation,Technology,Computer Hardware,Growth,180.7,1237.92,1680.02,24.0,17.4,10.0,0.0,ok,0.0,ok,-0.38,,False,51.4,4.7,4.3,371.6,71.5,91.6,37.4,41.0,100.9,0.366,0.438,AVGO,,126,17.4,15.0,,False
