rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,1869.7,392.99,390.46,20.0,17.4,22.0,0.0,ok,-0.5,ok,1.08,,False,58.9,20.1,1.5,47.9,76.3,37.3,54.5,6.6,7.2,0.409,0.481,NVDA,,126,17.4,22.0,,True
2,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,283.2,1063.25,1027.53,19.0,14.7,23.0,0.0,ok,0.0,ok,-2.29,,False,56.7,42.2,5.6,21.9,20.6,82.6,60.6,24.0,18.7,0.388,0.446,AVGO,,126,14.7,23.0,,False
3,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Core,113.1,293.84,296.75,20.5,15.8,19.8,0.0,ok,0.0,ok,0.08,,False,56.1,32.3,2.4,24.1,38.0,43.9,52.0,17.0,11.4,0.363,0.488,NVDA,,126,15.8,20.0,,False
4,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2211.3,426.35,425.06,24.0,12.5,21.0,-2.0,ok,0.0,ok,-0.8,,False,55.5,19.6,,36.0,64.2,40.0,64.5,17.7,3.1,0.595,0.654,NVDA,,126,12.5,21.0,fcf_yield_out_of_range(33.4),False
5,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4201.5,343.54,352.31,19.0,15.2,20.0,0.0,ok,0.0,ok,-0.7,,False,54.2,23.3,0.5,24.2,60.9,48.7,59.2,4.0,-1.6,0.339,0.311,BMNR,,126,15.2,20.0,,True
6,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,Core,1502.6,589.85,597.13,18.0,17.3,17.0,0.0,ok,0.0,ok,0.2,,False,52.3,16.9,1.4,28.0,81.7,29.8,48.8,-6.0,-21.6,0.401,0.379,GOOG,,126,17.3,15.0,,False
7,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,Growth,250.8,198.82,188.88,19.0,13.1,20.0,0.0,ok,0.0,ok,-2.88,,False,52.1,38.5,1.6,37.7,63.0,31.5,64.9,34.1,26.5,0.44,0.555,AVGO,,126,13.1,20.0,,False
8,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,7.8,213.48,248.58,17.5,15.6,18.0,0.0,ok,0.0,ok,-2.67,,False,51.1,30.0,2.4,8.9,30.1,28.3,47.2,9.3,-4.4,0.389,0.439,AVGO,,126,15.6,18.0,,False
9,TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,Core,26.1,128.98,146.34,23.0,17.1,10.0,0.0,ok,-0.5,ok,1.45,,False,49.6,14.6,5.9,21.2,76.2,60.9,33.6,-5.5,-29.8,0.227,0.256,GOOG,,126,17.1,13.0,,False
10,GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,Core,12.0,94.91,90.16,22.0,18.0,10.0,0.0,ok,-0.5,ok,1.91,,False,49.5,8.6,10.0,6.6,63.8,442.9,48.7,-3.8,-7.4,-0.048,0.147,AVGO,,126,18.0,17.0,,False
11,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,Compounder,140.5,608.68,578.25,16.5,11.4,22.0,0.0,ok,-0.5,ok,1.73,,False,49.4,18.6,4.0,10.5,11.8,89.2,63.7,11.0,-20.1,-0.113,0.187,AVGO,,126,11.4,22.0,,False
12,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,Cyclical,17.9,118.3,114.95,22.0,17.3,10.0,0.0,ok,0.0,ok,0.29,,False,49.3,11.3,7.1,17.6,42.5,29.9,48.0,13.5,11.6,-0.349,0.325,GOOG,,126,17.3,12.0,,False
13,CINF,Cincinnati Financial Corporati,Financial Services,Insurance - Property & Casualt,Growth,26.6,173.17,176.88,22.0,17.1,10.0,0.0,ok,0.0,financial_na,,,False,49.1,19.2,11.2,31.6,31.1,21.5,27.3,4.4,-6.9,-0.162,0.305,AVGO,,126,17.1,14.0,,False
14,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5453.6,225.16,213.9,20.0,11.1,20.0,-2.0,ok,0.0,ok,-0.24,,False,49.1,17.6,0.8,85.2,74.1,114.3,75.4,15.5,9.3,0.525,0.481,AVGO,,126,11.1,20.0,,True
15,FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchang,Core,10.1,283.49,269.32,21.0,18.1,10.0,0.0,ok,0.0,financial_na,,,False,49.1,14.4,6.2,6.4,51.4,27.0,59.9,14.9,24.6,0.028,0.34,MSFT,,126,18.1,15.0,,False
16,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,Core,3678.6,495.4,470.63,18.0,13.2,17.8,0.0,ok,0.0,ok,0.27,,False,49.0,21.0,0.4,17.7,67.9,34.0,84.8,14.7,9.8,0.315,0.337,BMNR,,126,13.2,18.0,,True
17,DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,Core,12.7,93.09,103.42,21.0,18.0,10.0,0.0,ok,0.0,ok,-0.85,,False,49.0,11.1,6.9,5.7,57.8,42.6,41.5,-8.8,-33.5,0.257,0.34,GOOG,,126,18.0,12.0,,False
18,SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchang,Core,123.5,418.8,422.38,19.5,19.4,10.0,0.0,ok,0.0,financial_na,,,False,48.9,20.7,4.4,10.4,70.9,14.3,34.8,-7.5,-11.4,0.125,0.347,MSFT,,126,19.4,16.0,,False
19,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Core,59.2,234.71,273.71,22.0,17.3,10.0,0.0,ok,-0.5,ok,1.53,,False,48.8,13.0,6.0,19.5,56.1,27.9,33.0,-2.8,-17.4,0.227,0.379,AVGO,,126,17.3,14.0,,False
20,EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,Core,45.9,103.14,110.57,20.5,18.7,10.0,0.0,ok,-0.5,ok,1.24,,False,48.7,15.3,3.4,14.8,72.1,46.6,35.9,6.2,11.7,0.169,0.221,GOOG,,126,18.7,13.0,,False
21,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,Core,174.1,165.79,183.87,19.0,19.6,10.0,0.0,ok,0.0,ok,0.58,,False,48.6,16.2,5.9,-4.0,54.2,33.8,46.6,-1.4,4.7,0.287,0.395,AVGO,,126,19.6,14.0,,False
22,HOOD,"Robinhood Markets, Inc.",Financial Services,Capital Markets,Growth,85.9,95.56,99.09,20.0,20.5,10.0,-2.0,ok,0.0,financial_na,,,False,48.5,29.8,,32.3,91.9,23.6,49.9,-1.8,11.9,0.549,0.596,BMNR,,126,20.5,16.0,,False
23,BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,Growth,23.6,70.54,67.01,21.5,17.0,10.0,0.0,ok,0.0,financial_na,,,False,48.5,14.6,7.0,32.4,56.3,10.0,52.9,1.1,-10.6,-0.173,0.353,AVGO,,126,17.0,15.0,,False
24,OXY,Occidental Petroleum Corporati,Energy,Oil & Gas E&P,Growth,58.3,58.36,55.44,22.5,15.9,10.0,0.0,ok,0.0,ok,0.76,,False,48.4,14.8,6.5,53.4,73.3,10.6,61.4,14.7,13.4,-0.295,0.319,GOOG,,126,15.9,14.0,,False
25,APP,Applovin Corporation,Communication Services,Advertising Agencies,Growth,106.0,315.44,450.23,22.5,15.9,10.0,0.0,ok,0.0,ok,0.09,,False,48.4,15.0,3.0,52.8,88.5,203.7,26.9,-37.9,-33.1,0.406,0.377,BMNR,,126,15.9,15.0,,False
26,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,Core,2833.0,262.65,249.52,17.0,16.5,16.9,-2.0,ok,0.0,ok,0.76,,False,48.4,25.3,0.1,19.6,50.8,30.6,66.4,10.5,18.2,0.582,0.632,GOOG,,126,16.5,17.0,,False
27,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,Growth,74.8,142.61,137.93,23.0,15.4,10.0,0.0,ok,0.0,ok,0.23,,False,48.4,9.8,6.0,58.7,62.6,22.5,52.9,14.2,5.1,-0.33,0.318,NVDA,,126,15.4,14.0,,False
28,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Compounder,83.2,585.87,556.58,16.0,12.8,21.0,0.0,ok,-1.5,ok,2.03,,False,48.3,19.3,3.0,5.1,20.1,27.0,75.0,-2.9,-30.2,-0.058,0.243,AVGO,,126,12.8,21.0,,False
29,MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchang,Core,84.0,484.96,473.86,20.5,17.6,10.0,0.0,ok,0.0,financial_na,,,False,48.1,25.6,3.1,15.1,75.0,76.9,48.9,3.1,0.3,0.178,0.337,MSFT,,126,17.6,16.0,,False
30,TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,Core,23.6,110.56,113.26,20.5,17.4,10.0,0.0,ok,0.0,financial_na,,,False,47.9,10.8,8.6,10.7,51.6,19.4,31.4,8.3,5.8,0.261,0.315,BMNR,,126,17.4,15.0,,False
31,ADBE,Adobe Inc.,Technology,Software - Application,Core,104.9,264.02,250.82,23.0,14.9,10.0,0.0,ok,0.0,ok,0.15,,False,47.9,9.6,8.8,12.7,89.4,63.0,63.3,-3.0,-13.9,0.169,0.395,MSFT,,126,14.9,17.0,,False
32,GD,General Dynamics Corporation,Industrials,Aerospace & Defense,Compounder,107.1,395.78,375.99,14.5,12.6,20.8,0.0,ok,0.0,ok,0.78,,False,47.9,21.3,4.1,8.1,15.4,17.8,57.0,12.8,0.5,-0.01,0.151,NVDA,,126,12.6,21.0,,False
33,ADSK,"Autodesk, Inc.",Technology,Software - Application,Core,53.1,251.66,239.08,22.0,15.9,10.0,0.0,ok,0.0,ok,-0.09,,False,47.9,17.7,5.8,18.4,92.4,50.4,67.5,0.3,-5.1,0.116,0.321,MSFT,,126,15.9,17.0,,False
34,NFLX,"Netflix, Inc.",Communication Services,Entertainment,Core,325.5,78.16,74.84,23.0,14.8,10.0,0.0,ok,0.0,ok,0.51,,False,47.8,20.5,7.8,13.4,49.1,49.5,72.9,-12.4,-12.2,0.098,0.192,MSFT,,126,14.8,14.0,,False
35,IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,Core,43.4,550.96,561.19,19.5,18.0,10.0,0.0,ok,0.0,ok,0.55,,False,47.5,32.9,2.1,9.7,62.4,74.2,47.8,-10.8,-26.3,0.271,0.355,GOOG,,126,18.0,17.0,,False
36,IT,"Gartner, Inc.",Technology,Information Technology Service,Core,11.4,181.09,172.04,21.0,17.0,10.0,0.0,ok,-0.5,ok,1.33,,False,47.5,11.0,9.2,-0.6,69.6,113.6,67.2,0.1,0.3,-0.018,0.244,MSFT,,126,17.0,17.0,,False
37,PGR,Progressive Corporation (The),Financial Services,Insurance - Property & Casualt,Core,121.9,209.6,213.71,19.5,17.8,10.0,0.0,ok,0.0,financial_na,,,False,47.3,12.9,12.4,7.3,18.5,34.9,39.3,1.1,-11.4,-0.331,0.355,NVDA,,126,17.8,14.0,,False
38,AAPL,Apple Inc.,Technology,Consumer Electronics,Core,4464.8,305.93,309.19,20.5,16.8,10.0,0.0,ok,0.0,ok,0.13,,False,47.3,32.2,2.4,16.4,48.7,148.8,26.0,9.2,5.8,0.211,0.259,BMNR,,126,16.8,14.0,,False
39,INCY,Incyte Corporation,Healthcare,Biotechnology,Growth,24.4,120.16,114.15,23.0,14.3,10.0,0.0,ok,0.0,ok,-2.32,,False,47.3,13.5,4.8,37.7,55.7,30.7,52.0,16.8,5.0,-0.084,0.165,AVGO,,126,14.3,16.0,,False
40,UBER,"Uber Technologies, Inc.",Technology,Software - Application,Core,155.1,75.95,72.25,21.0,16.7,10.0,0.0,ok,-0.5,ok,1.25,,False,47.2,17.3,4.7,12.2,40.8,37.2,66.6,-2.1,-5.4,0.295,0.327,MSFT,,126,16.7,16.0,,False
