rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Compounder,104.9,272.4,300.71,20.5,20.0,20.0,0.0,ok,0.0,ok,0.08,,False,60.5,29.9,2.6,24.1,38.0,43.9,44.0,9.5,27.4,0.338,0.482,AVGO,,126,20.0,20.0,,False
2,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,263.8,990.32,1021.31,19.0,17.3,23.0,0.0,ok,0.0,ok,-2.29,,False,59.3,39.9,6.0,21.9,20.6,82.6,39.4,17.1,15.2,0.414,0.482,AVGO,,126,17.3,23.0,,False
3,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2178.5,420.04,425.68,24.0,13.5,21.0,-2.0,ok,0.0,ok,-0.8,,False,56.5,19.4,,36.0,64.2,40.0,57.2,17.0,9.1,0.599,0.665,NVDA,,126,13.5,21.0,fcf_yield_out_of_range(33.9),False
4,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,2035.1,427.76,406.37,20.0,12.9,22.0,0.0,ok,-0.5,ok,1.08,,False,54.4,21.9,1.3,47.9,76.3,37.3,73.6,16.5,16.9,0.434,0.525,NVDA,,126,12.9,22.0,,True
5,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4322.9,353.47,354.72,19.0,14.8,20.0,0.0,ok,0.0,ok,-0.7,,False,53.8,24.0,0.5,24.2,60.9,48.7,50.9,7.7,-2.4,0.305,0.275,BMNR,,126,14.8,20.0,,True
6,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,Growth,238.0,188.67,179.24,19.0,14.5,20.0,0.0,ok,0.0,ok,-2.88,,False,53.5,36.9,1.6,37.7,63.0,31.5,63.1,28.3,25.3,0.482,0.587,AVGO,,126,14.5,20.0,,False
7,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,Core,1508.4,592.1,599.76,18.0,18.2,17.0,0.0,ok,0.0,ok,0.2,,False,53.2,16.9,1.4,28.0,81.7,29.8,33.7,-6.2,-22.3,0.394,0.39,GOOG,,126,18.2,15.0,,False
8,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,7.7,211.56,256.96,17.5,16.8,18.0,0.0,ok,0.0,ok,-2.67,,False,52.3,31.1,2.5,8.9,30.1,28.3,43.5,9.6,-3.2,0.397,0.47,AVGO,,126,16.8,18.0,,False
9,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,Growth,71.8,134.74,137.37,24.0,17.6,10.0,0.0,ok,0.0,ok,0.23,,False,51.6,9.2,6.2,58.7,62.6,22.5,42.0,8.7,7.5,-0.31,0.304,GOOG,,126,17.6,14.0,,False
10,SNDK,Sandisk Corporation,Technology,Computer Hardware,Growth,177.0,1212.21,1688.09,24.0,17.4,10.0,0.0,ok,0.0,ok,-0.38,,False,51.4,4.7,4.4,371.6,71.5,91.6,44.3,39.0,90.8,0.366,0.437,AVGO,,126,17.4,15.0,,False
11,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5424.5,223.96,212.76,20.0,13.2,20.0,-2.0,ok,0.0,ok,-0.24,,False,51.2,17.4,0.9,85.2,74.1,114.3,65.6,15.5,8.9,0.562,0.525,AVGO,,126,13.2,20.0,,True
12,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,Cyclical,17.3,114.35,114.5,22.0,18.7,10.0,0.0,ok,0.0,ok,0.29,,False,50.7,10.3,7.3,17.6,42.5,29.9,36.1,10.6,12.7,-0.323,0.349,GOOG,,126,18.7,12.0,,False
13,OXY,Occidental Petroleum Corporati,Energy,Oil & Gas E&P,Growth,55.9,55.91,54.47,22.5,17.3,10.0,0.0,ok,0.0,ok,0.76,,False,49.8,14.1,6.8,53.4,73.3,10.6,52.4,10.8,9.4,-0.249,0.328,GOOG,,126,17.3,14.0,,False
14,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,Core,176.3,167.86,191.78,19.0,20.4,10.0,0.0,ok,0.0,ok,0.58,,False,49.4,16.3,5.8,-4.0,54.2,33.8,48.2,-0.3,11.1,0.284,0.398,AVGO,,126,20.4,14.0,,False
15,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Core,60.4,239.71,282.48,21.0,18.9,10.0,0.0,ok,-0.5,ok,1.53,,False,49.4,13.2,5.9,19.5,56.1,27.9,36.7,-0.5,-4.5,0.219,0.389,AVGO,,126,18.9,14.0,,False
